id,word,sentence,following_constituent,POS,has_predicate,has_pronoun,has_modal,token_length,prediction
15,sejak,berarti memang dari malam bisa jadi sudah masuk soalnya pagi sejak berangkat sampai terakhir di samaranthu itu mila sudah benerbenar berubah,berangkat sampai terakhir,CONJ,YES,NO,NO,3,CONJ
16,sejak,memang sejak berangkat tadi posisi daypack itu diletakkan di atas carrier karena tidak cukup tempat di bagasi,berangkat tadi,CONJ,YES,NO,NO,2,CONJ
17,sejak,ada dua pasang mata yang mengawasi dari alas lali jiwo sejak kedatangannya di sabana lembah kidang,kedatangannya di sabana,CONJ,NO,NO,NO,3,PREP
18,sejak,sejak kedatangannya ke asrama yang berdiri di bekas lahan pemakaman alam bawah sadarnya seperti merasakan ada sesuatu yang berbeda dari tempatnya bekerja,kedatangannya ke asrama yang berdiri di bekas lahan pemakaman,CONJ,YES,NO,NO,9,CONJ
19,sejak,sejak sebelum bekerja di perusahaan ini hendro memang getol sekali berburu bendabenda pusaka,sebelum bekerja di perusahaan ini,CONJ,NO,NO,NO,5,PREP
20,sejak,sejak datang tadi belum sepatah kata keluar dari mulutnya,datang tadi,CONJ,NO,NO,NO,2,PREP
21,sejak,kegemaran ini didapat sejak masih tinggal di bandung,masih tinggal di bandung,CONJ,NO,NO,NO,4,PREP
22,sejak,sejak mbak asti bekerja baru sekali itu belau berkesempatan menyambangi keponakannya,mbak asti bekerja,CONJ,NO,NO,NO,3,PREP
23,sejak,tumben sejak kapan kamu percaya cerita seperti itu yo,kapan kamu percaya,ADV,NO,YES,NO,3,CONJ
24,sejak,lalu sebenarnya sejak kapan kinanti meminjam badan mila ya,kapan kinanti meminjam,ADV,YES,NO,NO,3,CONJ
25,karena,kali ini bukan hanya janu tapi ayah rama juga terkejut karena dia tidak asing lagi dengan suaranya,dia tidak asing lagi,CONJ,NO,YES,NO,4,CONJ
26,karena,sebelumnya dia sempat berdebat alot dengan kepala asrama karena dia tidak mau peristiwa hilangnya pak hendro tersebar kemanamana,dia tidak mau peristiwa hilangnya pak hendro tersebar kemanamana,CONJ,YES,YES,YES,9,CONJ
27,karena,tapi akhirnya kepala asrama itu menyerah karena dia tidak tahu bagaimana mencari solusi atas kasus itu,dia tidak tahu,CONJ,NO,YES,NO,3,CONJ
28,karena,mbak asti bercerita kepada om unggul karena dia merasa ikut bertanggung jawab secara moral atas peristiwa itu,dia merasa ikut bertanggung jawab,CONJ,YES,YES,NO,5,CONJ
29,karena,anya menjawab dengan suara agak keras karena dia berdiri agak jauh dari kamar mila,dia berdiri agak jauh,CONJ,YES,YES,NO,4,CONJ
30,karena,peristiwa ini sangat membekas sampai menimbulkan dendam bagi kinanti karena dia memiliki hubungan yang sangat dekat dengan ayahnya,dia memiliki hubungan yang sangat dekat dengan ayahnya,CONJ,YES,YES,NO,8,CONJ
31,karena,janu yang salah karena dia pergi,dia pergi,CONJ,NO,YES,NO,2,CONJ
32,karena,karena tidak ada acara pelatihan suasana jadi sangat sepi,tidak ada acara pelatihan,CONJ,NO,NO,NO,4,PREP
33,karena,karena tidak ada keluarga yang mengakui jasadnya dimakamkan di lahan tanah kuburan yang sekarang jadi asrama itu,tidak ada keluarga yang mengakui,CONJ,YES,NO,NO,5,CONJ
34,karena,rumah itu kosong karena hanya dijadikan tempat singgah saat keluarganya berkunjung ke jawa timur,hanya dijadikan tempat singgah,CONJ,YES,NO,NO,4,CONJ
35,karena,maaf suami saya sedang takziah ke jakarta karena ada kerabat yang meninggal sepupu almarhum winda,ada kerabat yang meninggal,CONJ,YES,NO,NO,4,CONJ
36,karena,wawan sempat mengajak saya tapi saya nggak bisa karena ada kerjaan,ada kerjaan,CONJ,NO,NO,NO,2,PREP
37,karena,karena sudah malam kegiatan pencarian dilanjutkan keesokan harinya,sudah malam,CONJ,NO,NO,YES,2,CONJ
38,karena,karena dianggap mengadaada kedua anak buah mbak asti itu akhirnya kembali lagi ke dapur,dianggap mengadaada,CONJ,YES,NO,NO,2,CONJ
39,karena,malah dia ikut turun dari kendaraannya karena saat itu kebelet pipis,saat itu kebelet pipis,CONJ,NO,NO,NO,4,PREP
40,karena,mungkin karena anak bungsu dia suka sekali dengan anak kecil,anak kecil,CONJ,NO,NO,NO,2,PREP
41,karena,kali ini memang hanya kami bertiga yang berangkat karena ari dan teguh dua teman yang biasa menyertai saat itu sedang berhalangan,ari dan teguh sedang berhalangan,CONJ,YES,NO,YES,5,CONJ
42,karena,rio protes karena barang yang sudah dipesannya dijual ke orang lain,barang yang sudah dipesannya dijual,CONJ,YES,NO,YES,5,CONJ
43,karena,karena budenya tidak memiliki anak perempuan maka jadilah kinanti seperti ratu dalam keluarganya,budenya tidak memiliki anak perempuan,CONJ,YES,NO,NO,5,CONJ
44,karena,dia mengajak dina untuk menemani mereka karena kebetulan keduanya adalah kenalan dina,kebetulan keduanya adalah kenalan dina,CONJ,YES,NO,NO,5,CONJ
45,karena,mungkin karena alasan itu orang yang mau ngontrak jadi berpikir ulang,alasan itu,PREP,NO,NO,NO,2,PREP
46,karena,malam itu juga beni menemui ketua sru dan menyampaikan maksudnya untuk turun ke ranupani karena alasan kesehatan,alasan kesehatan,PREP,NO,NO,NO,2,PREP
47,karena,bukan bukan karena ac,ac,PREP,NO,NO,NO,1,PREP
48,karena,karena alex teman sependakian mereka yang selamat bisa menceritakan kejadian yang mereka alami,alex,PREP,NO,NO,NO,1,PREP
49,karena,kamu meninggal karena apa,apa,PREP,NO,NO,NO,1,PREP
50,karena,mungkin karena efek doa ibu,efek doa ibu,PREP,NO,NO,NO,3,PREP
51,karena,jawa timur memang menarik karena eksotisme alam dan jalur pendakiannya yang ekstrem,eksotisme alam,PREP,NO,NO,NO,2,PREP
52,karena,kali ini beliau menyediakan waktu khusus karena esoknya libur kantor,esoknya libur kantor,PREP,NO,NO,NO,3,PREP
53,karena,aku tak mau membuat teguh khawatir karena gejala hipotermia tadi,gejala hipotermia tadi,PREP,NO,NO,NO,3,PREP
54,karena,sebenarnya lokasi rumahnya bukan di kompleks perumahan tapi karena proses pelebaran area akhirnya rumahnya seperti masuk ke kompleks perumahan,proses pelebaran area,PREP,NO,NO,NO,3,PREP
55,karena,padahal cuaca saat itu tidak begitu mendukung karena sedang musim hujan,sedang musim hujan,PREP,NO,NO,YES,3,CONJ
56,karena,pada 2019 teguh meninggal karena serangan jantung,serangan jantung,PREP,NO,NO,NO,2,PREP
57,karena,mungkin karena setiap maghrib arini dan ibunya selalu kami kirimi doa sehingga tidak pernah menampakkan diri lagi,setiap maghrib,PREP,NO,NO,NO,2,PREP
58,karena,dina tetap mematung seperti terhipnotis karena tarian itu,tarian itu,PREP,NO,NO,NO,2,PREP
59,sebelum,winda mendengarkan detail cerita janu dengan seksama sebelum akhirnya dia menghela napas,akhirnya dia menghela napas,CONJ,YES,YES,NO,4,CONJ
60,sebelum,hanya satu tahun hendro tinggal di rumah itu sebelum akhirnya diterima bekerja di sebuah perusahaan perkebunan,akhirnya diterima bekerja,CONJ,YES,NO,NO,3,CONJ
61,sebelum,sebelum pergi dia dibekali beberapa benda pusaka,pergi,CONJ,NO,NO,NO,1,PREP
62,sebelum,terengahengah ketika mereka akhirnya sampai di ujung lembah sebelum masuk hutan,masuk hutan,CONJ,NO,NO,NO,2,PREP
63,sebelum,sebelum masuk ke ruang tamu beliau menyempatkan diri melihatlihat ke sekeliling asrama karyawan diikuti oleh mbak asti,masuk ke ruang tamu,CONJ,NO,NO,NO,4,PREP
64,sebelum,sebelum berangkat ke gunung slamet pak drajat kembali lagi ke kamar mila,berangkat ke gunung slamet,CONJ,YES,NO,NO,4,CONJ
65,sebelum,rama juga akan berpamitan sebelum mendaki gunung semeru bersama janu,berpamitan sebelum mendaki,CONJ,YES,NO,NO,3,CONJ
66,sebelum,dikumpulkannya keberaniannya sebelum dia melangkah mendekati kedua mahluk itu,dia melangkah mendekati,CONJ,YES,YES,NO,3,CONJ
67,sebelum,memulai proses pencarian sesuai perkiraan sebelum maghrib tiba kami sudah sampai di basecamp ranupani,maghrib tiba,CONJ,NO,NO,NO,2,PREP
68,sebelum,pagi harinya seluruh tim relawan mengikuti briefing sebelum memulai proses pencarian,memulai proses pencarian,CONJ,YES,NO,NO,3,CONJ
69,sebelum,sebelum menikah beliau juga tinggal di rumah yang sekarang jadi tempat kos mila dan temantemannya,menikah,CONJ,YES,NO,NO,1,CONJ
70,sebelum,pagi hari sebelum meninggal bu dewi datang ke sini,meninggal,CONJ,YES,NO,NO,1,CONJ
71,sebelum,sebelum tinggal di perumahan ini kami tinggal di sebuah rumah kontrakan yang berbatasan dengan area pemakaman,tinggal di perumahan ini,CONJ,NO,NO,NO,4,PREP
72,sebelum,tepat sebelum maghrib keduanya sampai di basecamp bambangan rumah pak bau,maghrib,PREP,NO,NO,NO,1,PREP
73,sebelum,dia pergi sejak sebelum maghrib,maghrib,PREP,NO,NO,NO,1,PREP
74,sebelum,pengalaman mbak asti dan temannya sehari sebelum penutupan acara management training mbak asti mendapatkan pengalaman yang aneh,penutupan acara,PREP,NO,NO,NO,2,PREP
75,sebelum,beberapa hari sebelum peristiwa itu kamarnya memang terasa lebih dingin dari biasanya dan sering tercium aroma wewangian,peristiwa itu,PREP,NO,NO,NO,2,PREP
76,untuk,pinkan tahu dia tidak akan mampu menghalangi niat rama untuk mendaki gunung semeru,mendaki gunung semeru,CONJ,YES,NO,NO,3,CONJ
77,untuk,hampir setiap hari libur kinanti selalu datang ke bambangan entah untuk mendaki atau sekadar silaturahmi ke tempat pak bau,mendaki atau sekadar silaturahmi,CONJ,YES,NO,NO,4,CONJ
78,untuk,orang tua pinkan dan rama akhirnya memutuskan untuk kembali ke basecamp ranupani,kembali ke basecamp,CONJ,NO,NO,NO,3,PREP
79,untuk,dia seperti menggunakan seluruh energinya untuk melakukan ritual ini,melakukan ritual ini,CONJ,YES,NO,NO,3,CONJ
80,untuk,kinanti minta izin untuk bisa menempati salah satu kamar di paviliun yang baru dibangun bu rahmi,bisa menempati salah satu kamar,CONJ,YES,NO,YES,5,CONJ
81,untuk,malam itu mbak asti meminta om unggul untuk datang ke asrama,datang ke asrama,CONJ,NO,NO,NO,3,PREP
82,untuk,kami diminta untuk duduk dengan membentuk lingkaran,duduk dengan membentuk lingkaran,CONJ,YES,NO,NO,4,CONJ
83,untuk,aku disergap keraguan antara harus menyusul teguh atau turun untuk meminta bantuan penduduk,meminta bantuan penduduk,CONJ,YES,NO,NO,3,CONJ
84,untuk,beni berteriak agak keras untuk mengusir rasa takut yang mulai menjalari nyali,mengusir rasa takut,CONJ,YES,NO,NO,3,CONJ
85,untuk,sampai di jembatan besar yang menjadi batas dua desa perempuan itu minta mas deni untuk berhenti sebentar,berhenti sebentar,CONJ,YES,NO,NO,2,CONJ
86,untuk,beni lalu berinisiatif menelepon temannya di malang untuk memastikan kabar itu,memastikan kabar itu,CONJ,YES,NO,NO,3,CONJ
87,untuk,bu rahmi berinisiatif untuk membuat koskosan,membuat koskosan,CONJ,YES,NO,NO,2,CONJ
88,untuk,ubi pemberian pak bau sudah dingin tapi lumayan untuk menambah energi yang terkuras,menambah energi yang terkuras,CONJ,YES,NO,NO,4,CONJ
89,untuk,seluruh potensi sar yang dimiliki mapala dikerahkan untuk mencari info,mencari info,CONJ,YES,NO,NO,2,CONJ
90,untuk,pak drajat bergegas masuk rumah untuk menerima telepon,menerima telepon,CONJ,YES,NO,NO,2,CONJ
91,untuk,untuk sampai ke sana mbak asti harus melewati sejumlah gedung di sisi kiri dan kanan jalan selebar enam meter,sampai ke sana,CONJ,NO,NO,NO,3,PREP
92,untuk,namun kami terus berusaha untuk tidak panik,tidak panik,CONJ,NO,NO,NO,2,PREP
93,untuk,di dekat mata air mereka mendirikan camp untuk beristirahat,beristirahat,CONJ,YES,NO,NO,1,CONJ
94,untuk,sementara mbak asti memerintahkan karyawan lain untuk membawa pak hendro ke asrama,membawa pak hendro ke asrama,CONJ,YES,NO,NO,5,CONJ
95,untuk,mas deni menepi lalu turun dari kendaraan dan mencari lokasi yang memungkinkan untuk membuang hajatnya,membuang hajatnya,CONJ,YES,NO,NO,2,CONJ
96,untuk,kewajiban untuk menyiapkan sarapan pagi untuk 300 peserta pelatihan memaksa seluruh karyawan bagian dapur bangun lebih awal,menyiapkan sarapan pagi,CONJ,YES,NO,NO,3,CONJ
97,untuk,untuk kesekian kalinya aku dan teguh berpandangan,kesekian kalinya,PREP,NO,NO,NO,2,PREP
98,untuk,untuk kesekian kalinya pak yuli menanyakan keberadaan rama,kesekian kalinya,PREP,NO,NO,NO,2,PREP
99,untuk,namun satu hal yang pasti malam itu adalah malam duka untuk mereka semua,mereka semua,PREP,NO,YES,NO,2,PREP
100,untuk,tidak jarang juga kinanti membawakan oleholeh untuk mereka di gunung slamet,mereka di gunung slamet,PREP,NO,YES,NO,4,PREP
101,untuk,letaknya tidak terlalu jauh dari dapur yang saat itu sedang menyiapkan kebutuhan untuk peserta pelatihan,peserta pelatihan,PREP,NO,NO,NO,2,PREP
102,untuk,untuk beberapa saat lamanya keempat makhluk itu hanya saling berpandangan,beberapa saat lamanya,PREP,NO,NO,NO,3,PREP
103,untuk,keduanya duduk di deretan paling belakang yang tempat duduknya hanya untuk dua orang,dua orang,PREP,NO,NO,NO,2,PREP
104,untuk,sebuah amplop surat yang dialamatkan untuk eyang,eyang,PREP,NO,NO,NO,1,PREP
105,untuk,ini boneka yang dibeli rama untuk hadiah ulang tahun pinkan,hadiah ulang tahun pinkan,PREP,NO,NO,NO,4,PREP
106,untuk,bukan hanya penghuni asrama saja tapi penduduk sekitar juga memanfaatkan keberadaan masjid itu untuk ibadah mereka,keselamatan,PREP,NO,NO,NO,1,PREP
107,untuk,rupanya seseorang meletakkan paket yang ditujukan untuk janu,janu,PREP,NO,NO,NO,1,PREP
108,untuk,untuk kamar biasanya kami menggunakan senthir lampu tempel dengan sumbu berbahan bakar minyak tanah,kamar,PREP,NO,NO,NO,1,PREP
109,untuk,tidak butuh waktu lama aku membuat mi instan dan kopi untuk kami bertiga,kami bertiga,PREP,YES,YES,NO,2,CONJ
110,untuk,selama kegiatan berlangsung biasanya dijual banyak perlengkapan untuk kegiatan outdoor,pendaki,PREP,NO,NO,NO,1,PREP
111,untuk,sekarang lebih baik kalian berdoa untuk keselamatan temanteman kalian,keselamatan,PREP,NO,NO,NO,1,PREP
112,untuk,rumah kontrakan kami termasuk murah untuk lokasi di pinggir jalan raya,lokasi di pinggir kota,PREP,NO,NO,NO,4,PREP
113,untuk,sisi membawakan secangkir teh untuk pak drajat,pak drajat,PREP,NO,NO,NO,2,PREP
114,untuk,setiap sore di depan rumah kami biasanya ramai oleh penduduk desa sekitar yang mencari rumput untuk pakan ternak,menikmati sore,PREP,YES,NO,NO,2,CONJ
115,untuk,semua keperluan untuk ritual itu sudah lengkap,ritual itu,PREP,NO,NO,NO,2,PREP
116,untuk,mila menabur bunga untuk siapa,siapa,PREP,NO,NO,NO,1,PREP
117,dengan,dengan suara bergetar karena menahan tangis ibu pinkan mengatakan bahwa ciriciri pemuda yang disebut penjaga makam itu mirip sekali dengan rama,suara bergetar,CONJ,YES,NO,NO,2,CONJ
118,dengan,pak yuli bertanya dengan suara bergetar menahan takut,suara bergetar menahan takut,CONJ,YES,NO,NO,4,CONJ
119,dengan,ada perasaan lega yang tersirat di wajah rio begitu melihat pemilik konter itu kembali dengan membawa carrier pesanannya,membawa carrier pesanannya,CONJ,YES,NO,NO,3,CONJ
120,dengan,mereka biasanya datang dengan membawa seorang paranormal,membawa seorang paranormal,CONJ,YES,NO,NO,3,CONJ
121,dengan,beberapa kali mereka berpapasan dengan para pendaki yang turun,para pendaki yang turun,CONJ,NO,NO,NO,4,PREP
122,dengan,perempuan itu akhirnya pergi dengan diiringi hembusan angin,diiringi hembusan angin,CONJ,YES,NO,NO,3,CONJ
123,dengan,dia meninggal karena bunuh diri dengan menabrakkan tubuhnya ke kereta api,menabrakkan tubuhnya ke kereta api,CONJ,YES,NO,NO,5,CONJ
124,dengan,mereka berniat merayakan pertunangan dengan mendaki gunung slamet,mendaki gunung slamet,CONJ,YES,NO,NO,3,CONJ
125,dengan,dengan mengucapkan salam terlebih dahulu beni diringi yang lain masuk rumah satu per satu,mengucapkan salam terlebih dahulu,CONJ,YES,NO,NO,4,CONJ
126,dengan,pagi harinya beberapa teman dari survivor melakukan pencarian dengan menuruni jurang,menuruni jurang,CONJ,YES,NO,NO,2,CONJ
127,dengan,tubuhnya diam mematung dengan pandangan mata lurus ke depan,pandangan mata lurus ke depan,CONJ,NO,NO,NO,5,PREP
128,dengan,aku memberikan kode dengan mengacungkan jempol,mengacungkan jempol,CONJ,YES,NO,NO,2,CONJ
129,dengan,hingga suatu ketika dia berhasil membunuh perempuan itu dengan menusukkan pisau tepat di jantungnya,menusukkan pisau,CONJ,YES,NO,NO,2,CONJ
130,dengan,dia bahkan menghukum arini dengan melarangnya keluar rumah,melarangnya keluar rumah,CONJ,YES,NO,NO,3,CONJ
131,dengan,beliau kenal baik dengan pak bau selaku juru kunci gunung slamet di bambangan,pak bau,PREP,NO,NO,NO,2,PREP
132,dengan,mila menjadi yang terakhir berpamitan dengan pak bau,pak bau,PREP,NO,NO,NO,2,PREP
133,dengan,dari cerita pak rt dapat disimpulkan alasan kenapa rumah disewakan dengan harga murah,harga murah,PREP,NO,NO,NO,2,PREP
134,dengan,bahkan rio sempat berkenalan dengan kedua perempuan itu,kedua perempuan itu,PREP,NO,NO,NO,3,PREP
135,dengan,aku peluk ibuku yang masih sedikit terguncang dengan kejadian ini,kejadian ini,PREP,NO,NO,NO,2,PREP
136,dengan,teguh dan beni kembali mencoba mengaitkannya dengan peristiwa di dalam kereta,peristiwa di dalam kereta,PREP,NO,NO,NO,4,PREP
137,dengan,maka dibangunlah tiga kamar di halaman yang bersebelahan dengan rumah induk,rumah induk,PREP,NO,NO,NO,2,PREP
138,dengan,rumahnya sangat dekat dengan rumah kontrakan kami,rumah kontrakan kami,PREP,NO,YES,NO,3,PREP
139,dengan,sebenarnya jarak dengan rumah tetangga tidak terlalu dekat juga,rumah tetangga,PREP,NO,NO,NO,2,PREP
140,dengan,pak drajat tidak kaget lagi dengan pertanyaan dari sisi,pertanyaan dari sisi,PREP,NO,NO,NO,3,PREP
141,dengan,namun sebelumnya aku diskusikan dulu dengan semua teman,semua teman,PREP,NO,NO,NO,2,PREP
142,dengan,mungkin karena anak bungsu dia suka sekali dengan anak kecil,anak kecil,PREP,NO,NO,NO,2,PREP
143,dengan,kami tinggal di sebuah rumah kontrakan yang berbatasan dengan area pemakaman,area pemakaman,PREP,NO,NO,NO,2,PREP
144,dengan,akhirnya kami bertemu dengan mas beni pak bau dan beberapa warga,mas beni pak bau dan beberapa anggota tim sar,PREP,NO,NO,NO,9,PREP
145,dengan,beni mencoba membuka percakapan dengan mereka,mereka,PREP,NO,YES,NO,1,PREP
146,dengan,setelah berbasabasi sejenak dengan beliau aku akhirnya mengutarakan maksud kedatangan kami,beliau,PREP,NO,YES,NO,1,PREP
147,setelah,mila sendiri akhirnya pindah kamar setelah mendapat cerita dari temantemannya tentang kejadian hari itu,mendapat cerita dari temantemannya,CONJ,YES,NO,NO,4,CONJ
148,setelah,tidak lama setelah mendapat laporan kepolisian langsung datang ke asrama,mendapat laporan,CONJ,YES,NO,NO,2,CONJ
149,setelah,setelah mendapat pekerjaan hingga akhirnya menikahi dewi hendro sudah tidak lagi menjadi pemburu bendabenda pusaka,akhirnya menikahi dewi,CONJ,YES,NO,NO,3,CONJ
150,setelah,suara pak bau bergetar sesaat setelah melihat foto yang ditunjukkan pak drajat,melihat foto,CONJ,YES,NO,NO,2,CONJ
151,setelah,malam itu setelah selesai membagikan bingkisan kepada tetangga semua kembali dan berkumpul di basecamp,selesai membagikan bingkisan,CONJ,YES,NO,NO,3,CONJ
152,setelah,tapi setelah ditunggu sampai sore survivor tidak kunjung sampai,ditunggu sampai sore,CONJ,YES,NO,NO,3,CONJ
153,setelah,setelah semua clear kami lalu berkumpul di ruangan depan membahas beberapa langkah yang harus dilakukan terkait penghuni di kontrakan ini,semua clear,CONJ,NO,NO,NO,2,PREP
154,setelah,namun sesaat setelah beni berdiri tibatiba pintu rumah terbuka sendiri padahal masih dalam keadaan terkunci,beni berdiri,CONJ,YES,NO,NO,2,CONJ
155,setelah,setelah beni menelepon temannya akhirnya kabar meninggalnya dani terkonfirmasi,beni menelepon temannya,CONJ,YES,NO,NO,3,CONJ
156,setelah,setelah meneguk air putih sampai setengah gelas dia mulai bercerita,meneguk air putih,CONJ,YES,NO,NO,3,CONJ
157,setelah,setelah menerima pembayaran kopinya dia bergegas pergi,menerima pembayaran kopinya,CONJ,YES,NO,NO,3,CONJ
158,setelah,setelah menyelesaikan sekolah kejuruan di purwokerto dia merantau ke jakarta,menyelesaikan sekolah kejuruan,CONJ,YES,NO,NO,3,CONJ
159,setelah,rupanya beliau agak gusar setelah pak drajat menerima telepon dari pak sudi,pak drajat menerima telepon,CONJ,YES,NO,NO,4,CONJ
160,setelah,setelah pintu dibuka kami semua mengikutinya dari belakang,pintu dibuka,CONJ,YES,NO,NO,2,CONJ
161,setelah,pagi itu rio berpamitan kepada kami beberapa saat setelah dani menyalami kami,dani menyalami kami,CONJ,YES,YES,NO,3,CONJ
162,setelah,setelah evakuasi selesai dua burung merak itu menghilang,evakuasi selesai,CONJ,NO,NO,NO,2,PREP
163,setelah,setelah kedua orang tuanya meninggal bu rahmi menempati rumah itu,kedua orang tuanya meninggal,CONJ,YES,NO,NO,4,CONJ
164,setelah,akan ada apa lagi setelah semua ini,semua ini,PREP,NO,NO,NO,2,PREP
165,setelah,kehidupan rumah tangga mereka semakin memburuk setelah kepergian kinanti,kepergian kinanti,PREP,NO,NO,NO,2,PREP
166,setelah,hari ketiga setelah acara pelatihan berbekal sebilah kayu cendana sepanjang 20 sentimeter hendro menyambangi pohon beringin di sudut tanah kuburan itu,acara pelatihan,PREP,NO,NO,NO,2,PREP
167,setelah,hanya setelah malam itu berbagai kejadian aneh terjadi di kehidupan kami bertiga,malam itu,PREP,NO,NO,NO,2,PREP
168,hingga,kami masih bertetangga hingga hari ini,hari ini,PREP,NO,NO,NO,2,PREP
169,hingga,namun hingga empat hari pencarian jejak mereka tidak ditemukan,empat hari pencarian,PREP,NO,NO,NO,3,PREP
170,hingga,di sebelah utara rumah kontrakan yang kami tempati adalah bangunan sekolah dasar sebelah selatan berbatasan dengan beberapa ruko yang hanya buka hingga sore hari saja,sore hari saja,PREP,NO,NO,NO,3,PREP
171,hingga,hingga pada suatu hari kami mendapati ada rumah kontrakan yang disewakan dengan harga murah,pada suatu hari,PREP,NO,NO,NO,3,PREP
172,hingga,dia justru semakin penasaran hingga timbul niat untuk menarik benda pusaka yang ada di asrama itu tanpa berpikir risiko yang bisa ditimbulkannya,timbul niat untuk menarik benda pusaka,CONJ,YES,NO,NO,6,CONJ
173,hingga,suaranya keras sekali hingga mengundang perhatian tetangga,mengundang perhatian tetangga,CONJ,YES,NO,NO,3,CONJ
174,hingga,seminggu setelah penemuan topi itu jejak keduanya tidak pernah ditemukan hingga mereka berdua secara resmi dinyatakan hilang,mereka berdua secara resmi dinyatakan hilang,CONJ,YES,YES,NO,6,CONJ
175,hingga,setelah mendapat pekerjaan hingga akhirnya menikahi dewi hendro sudah,akhirnya menikahi dewi,CONJ,YES,NO,NO,3,CONJ
176,sampai,kereta ekspres matarmaja yang membawa beni teguh dan ari akhirnya sampai di stasiun kota baru malang,di stasiun kota baru malang,VERB,NO,NO,NO,5,VERB
177,sampai,tepat sebelum maghrib keduanya sampai di basecamp bambangan rumah pak bau,maghrib,VERB,NO,NO,NO,1,PREP
178,sampai,akhirnya aku dan bu nela sampai di depan kos mila,di depan kos mila,VERB,NO,NO,NO,4,VERB
179,sampai,rio bahkan sampai menangis dia teringat peristiwa serupa pernah menimpa sahabatnya yang meninggal saat mendaki ke gunung salak,menangis,ADV,YES,NO,NO,1,ADV
180,sampai,bukan hal mudah bagi keluarga untuk melupakan trauma ketika ada anggota keluarga yang hilang apalagi sampai meninggal di gunung,meninggal di gunung,ADV,YES,NO,NO,3,ADV
181,sampai,ari sampai pingsan,pingsan,ADV,NO,NO,NO,1,PREP
182,sampai,sampai maghrib dia duduk bersimpuh di pusara mbak pinkan,maghrib,PREP,NO,NO,NO,1,PREP
183,sampai,sampai hari ini sampai aku dewasa kejadian malam itu tak pernah terjawab,hari ini,PREP,NO,NO,NO,2,VERB
184,sampai,sejak peristiwa itu sampai hari ini tidak ada lagi kejadiankejadian aneh di dalam asrama,hari ini,PREP,NO,NO,NO,2,VERB
185,akan,maaf pak kalau kedatangan kami membangkitkan kembali kenangan akan almarhumah arini,almarhumah arini,PREP,NO,NO,NO,2,ADV
186,akan,kali ini dia sudah tidak peduli akan kesunyian asrama,kesunyian asrama,PREP,NO,NO,NO,2,ADV
187,akan,tibatiba muncul keraguan akan sikap tetangga di kampung ini,sikap tetangga di kampung ini,PREP,NO,NO,NO,5,ADV
188,akan,ayah rama bertanya kepada pak yuli juga yang juga tidak mengira akan ada kejadian seperti ini,ada kejadian seperti ini,ADV,NO,NO,NO,4,ADV
189,akan,keluarga tidak akan melakukan perpanjangan semua sudah mengikhlaskan kepergian rama,melakukan perpanjangan,ADV,YES,NO,NO,2,ADV
190,akan,sepertinya cerita tentang kinanti ini akan semakin menarik karena semakin melibatkan banyak orang,semakin menarik,ADV,YES,NO,NO,2,ADV
191,akan,sebenarnya dia sudah khawatir akan terjadi sesuatu tapi tidak tahu apa yang harus diperbuat,terjadi sesuatu,ADV,YES,NO,NO,2,ADV
192,akan,baik kami akan berusaha menemukan dia,berusaha menemukan dia,ADV,YES,YES,NO,3,ADV
