id,word,sentence,following_constituent,POS,has_predicate,has_pronoun,has_modal,token_length
26,karena,"Sebelumnya, dia sempat berdebat alot dengan kepala asrama karena dia tidak mau peristiwa hilangnya Pak Hendro tersebar kemana-mana.",dia tidak mau peristiwa hilangnya Pak Hendro tersebar kemana-mana,CONJ,YES,YES,YES,9
27,karena,Tapi akhirnya kepala asrama itu menyerah karena dia tidak tahu bagaimana mencari solusi atas kasus itu.,dia tidak tahu,CONJ,NO,YES,NO,3
28,karena,Mbak Asti bercerita kepada Om Unggul karena dia merasa ikut bertanggung jawab secara moral atas peristiwa itu.,dia merasa ikut bertanggung jawab,CONJ,YES,YES,NO,5
29,karena,Anya menjawab dengan suara agak keras karena dia berdiri agak jauh dari kamar Mila.,dia berdiri agak jauh,CONJ,YES,YES,NO,4
30,karena,"Peristiwa ini sangat membekas sampai menimbulkan dendam bagi Kinanti, karena dia memiliki hubungan yang sangat dekat dengan ayahnya.",dia memiliki hubungan yang sangat dekat dengan ayahnya,CONJ,YES,YES,NO,8
31,karena,Janu yang salah karena dia pergi.,dia pergi,CONJ,NO,YES,NO,2
32,karena,"Karena tidak ada acara pelatihan, suasana jadi sangat sepi.",tidak ada acara pelatihan,CONJ,NO,NO,NO,4
33,karena,"Karena tidak ada keluarga yang mengakui, jasadnya dimakamkan di lahan tanah kuburan yang sekarang jadi asrama itu.",tidak ada keluarga yang mengakui,CONJ,YES,NO,NO,5
34,karena,Rumah itu kosong karena hanya dijadikan tempat singgah saat keluarganya berkunjung ke Jawa Timur.,hanya dijadikan tempat singgah,CONJ,YES,NO,NO,4
35,karena,"Maaf suami saya sedang takziah ke Jakarta, karena ada kerabat yang meninggal, sepupu almarhum Winda.",ada kerabat yang meninggal,CONJ,YES,NO,NO,4
36,karena,Wawan sempat mengajak saya tapi saya nggak bisa karena ada kerjaan.,ada kerjaan,CONJ,NO,NO,NO,2
37,karena,"Karena sudah malam, kegiatan pencarian dilanjutkan keesokan harinya.",sudah malam,CONJ,NO,NO,YES,2
38,karena,"Karena dianggap mengada-ada, kedua anak buah Mbak Asti itu akhirnya kembali lagi ke dapur.",dianggap mengada-ada,CONJ,YES,NO,NO,2
39,karena,Malah dia ikut turun dari kendaraannya karena saat itu kebelet pipis.,saat itu kebelet pipis,CONJ,NO,NO,NO,4
40,karena,"Mungkin karena anak bungsu, dia suka sekali dengan anak kecil.",anak kecil,CONJ,NO,NO,NO,2
41,karena,"Kali ini memang hanya kami bertiga yang berangkat karena Ari dan Teguh, dua teman yang biasa menyertai saat itu, sedang berhalangan.",Ari dan Teguh sedang berhalangan,CONJ,YES,NO,YES,5
42,karena,Rio protes karena barang yang sudah dipesannya dijual ke orang lain.,barang yang sudah dipesannya dijual,CONJ,YES,NO,YES,5
43,karena,"Karena budenya tidak memiliki anak perempuan, maka jadilah Kinanti seperti ratu dalam keluarganya.",budenya tidak memiliki anak perempuan,CONJ,YES,NO,NO,5
44,karena,"Dia mengajak Dina untuk menemani mereka, karena kebetulan keduanya adalah kenalan Dina.",kebetulan keduanya adalah kenalan Dina,CONJ,YES,NO,NO,5
45,karena,"Mungkin karena alasan itu, orang yang mau ngontrak jadi berpikir ulang.",alasan itu,PREP,NO,NO,NO,2
46,karena,"Malam itu juga, Beni menemui ketua SRU dan menyampaikan maksudnya untuk turun ke Ranupani karena alasan kesehatan.",alasan kesehatan,PREP,NO,NO,NO,2
47,karena,"Bukan, bukan karena AC.",AC,PREP,NO,NO,NO,1
48,karena,"Karena Alex, teman sependakian mereka yang selamat, bisa menceritakan kejadian yang mereka alami.",Alex,PREP,NO,NO,NO,1
49,karena,Kamu meninggal karena apa?,apa,PREP,NO,NO,NO,1
50,karena,Mungkin karena efek doa ibu.,efek doa ibu,PREP,NO,NO,NO,3
51,karena,Jawa Timur memang menarik karena eksotisme alam dan jalur pendakiannya yang ekstrem.,eksotisme alam,PREP,NO,NO,NO,2
52,karena,Kali ini beliau menyediakan waktu khusus karena esoknya libur kantor.,esoknya libur kantor,PREP,NO,NO,NO,3
53,karena,Aku tak mau membuat Teguh khawatir karena gejala hipotermia tadi.,gejala hipotermia tadi,PREP,NO,NO,NO,3
54,karena,"Sebenarnya, lokasi rumahnya bukan di kompleks perumahan, tapi karena proses pelebaran area, akhirnya rumahnya seperti masuk ke kompleks perumahan.",proses pelebaran area,PREP,NO,NO,NO,3
55,karena,"Padahal, cuaca saat itu tidak begitu mendukung karena sedang musim hujan.",sedang musim hujan,PREP,NO,NO,YES,3
56,karena,"Pada 2019, Teguh meninggal karena serangan jantung.",serangan jantung,PREP,NO,NO,NO,2
57,karena,"Mungkin karena setiap Maghrib, Arini dan ibunya selalu kami kirimi doa sehingga tidak pernah menampakkan diri lagi.",setiap Maghrib,PREP,NO,NO,NO,2
58,karena,Dina tetap mematung seperti terhipnotis karena tarian itu.,tarian itu,PREP,NO,NO,NO,2
59,sebelum,Winda mendengarkan detail cerita Janu dengan seksama sebelum akhirnya dia menghela napas.,akhirnya dia menghela napas,CONJ,YES,YES,NO,4
60,sebelum,Hanya satu tahun Hendro tinggal di rumah itu sebelum akhirnya diterima bekerja di sebuah perusahaan perkebunan.,akhirnya diterima bekerja,CONJ,YES,NO,NO,3
61,sebelum,"Sebelum pergi, dia dibekali beberapa benda pusaka.",pergi,CONJ,NO,NO,NO,1
62,sebelum,Terengah-engah ketika mereka akhirnya sampai di ujung lembah sebelum masuk hutan.,masuk hutan,CONJ,NO,NO,NO,2
63,sebelum,"Sebelum masuk ke ruang tamu, beliau menyempatkan diri melihat-lihat ke sekeliling asrama karyawan diikuti oleh Mbak Asti.",masuk ke ruang tamu,CONJ,NO,NO,NO,4
64,sebelum,"Sebelum berangkat ke Gunung Slamet, Pak Drajat kembali lagi ke kamar Mila.",berangkat ke Gunung Slamet,CONJ,YES,NO,NO,4
65,sebelum,Rama juga akan berpamitan sebelum mendaki Gunung Semeru bersama Janu.,berpamitan sebelum mendaki,CONJ,YES,NO,NO,3
66,sebelum,Dikumpulkannya keberaniannya sebelum dia melangkah mendekati kedua mahluk itu.,dia melangkah mendekati,CONJ,YES,YES,NO,3
67,sebelum,"Memulai proses pencarian Sesuai perkiraan, sebelum Maghrib tiba, kami sudah sampai di basecamp Ranupani.",Maghrib tiba,CONJ,NO,NO,NO,2
68,sebelum,"Pagi harinya, seluruh tim relawan mengikuti briefing sebelum memulai proses pencarian.",memulai proses pencarian,CONJ,YES,NO,NO,3
69,sebelum,"Sebelum menikah, beliau juga tinggal di rumah yang sekarang jadi tempat kos Mila dan teman-temannya.",menikah,CONJ,YES,NO,NO,1
70,sebelum,"Pagi hari sebelum meninggal, Bu Dewi datang ke sini.",meninggal,CONJ,YES,NO,NO,1
71,sebelum,"Sebelum tinggal di perumahan ini, kami tinggal di sebuah rumah kontrakan yang berbatasan dengan area pemakaman.",tinggal di perumahan ini,CONJ,NO,NO,NO,4
72,sebelum,"Tepat sebelum Maghrib, keduanya sampai di Basecamp Bambangan, rumah Pak Bau.",Maghrib,PREP,NO,NO,NO,1
73,sebelum,Dia pergi sejak sebelum Maghrib.,Maghrib,PREP,NO,NO,NO,1
74,sebelum,"Pengalaman Mbak Asti dan temannya Sehari sebelum penutupan acara Management Training, Mbak Asti mendapatkan pengalaman yang aneh.",penutupan acara,PREP,NO,NO,NO,2
75,sebelum,beberapa hari sebelum peristiwa itu kamarnya memang terasa lebih dingin dari biasanya dan sering tercium aroma wewangian.,peristiwa itu,PREP,NO,NO,NO,2
76,untuk,Pinkan tahu dia tidak akan mampu menghalangi niat Rama untuk mendaki Gunung Semeru.,mendaki Gunung Semeru,CONJ,YES,NO,NO,3
77,untuk,"Hampir setiap hari libur, Kinanti selalu datang ke Bambangan, entah untuk mendaki atau sekadar silaturahmi ke tempat Pak Bau.",mendaki atau sekadar silaturahmi,CONJ,YES,NO,NO,4
78,untuk,Orang tua Pinkan dan Rama akhirnya memutuskan untuk kembali ke basecamp Ranupani.,kembali ke basecamp,CONJ,NO,NO,NO,3
79,untuk,Dia seperti menggunakan seluruh energinya untuk melakukan ritual ini.,melakukan ritual ini,CONJ,YES,NO,NO,3
80,untuk,Kinanti minta izin untuk bisa menempati salah satu kamar di paviliun yang baru dibangun Bu Rahmi.,bisa menempati salah satu kamar,CONJ,YES,NO,YES,5
81,untuk,Malam itu Mbak Asti meminta Om Unggul untuk datang ke asrama.,datang ke asrama,CONJ,NO,NO,NO,3
82,untuk,Kami diminta untuk duduk dengan membentuk lingkaran.,duduk dengan membentuk lingkaran,CONJ,YES,NO,NO,4
83,untuk,Aku disergap keraguan antara harus menyusul Teguh atau turun untuk meminta bantuan penduduk.,meminta bantuan penduduk,CONJ,YES,NO,NO,3
84,untuk,Beni berteriak agak keras untuk mengusir rasa takut yang mulai menjalari nyali.,mengusir rasa takut,CONJ,YES,NO,NO,3
85,untuk,"Sampai di jembatan besar yang menjadi batas dua desa, perempuan itu minta Mas Deni untuk berhenti sebentar.",berhenti sebentar,CONJ,YES,NO,NO,2
86,untuk,Beni lalu berinisiatif menelepon temannya di Malang untuk memastikan kabar itu.,memastikan kabar itu,CONJ,YES,NO,NO,3
87,untuk,Bu Rahmi berinisiatif untuk membuat kos-kosan.,membuat kos-kosan,CONJ,YES,NO,NO,2
88,untuk,"Ubi pemberian pak Bau sudah dingin, tapi lumayan untuk menambah energi yang terkuras.",menambah energi yang terkuras,CONJ,YES,NO,NO,4
89,untuk,Seluruh potensi SAR yang dimiliki Mapala dikerahkan untuk mencari info.,mencari info,CONJ,YES,NO,NO,2
90,untuk,Pak Drajat bergegas masuk rumah untuk menerima telepon.,menerima telepon,CONJ,YES,NO,NO,2
91,untuk,"Untuk sampai ke sana, Mbak Asti harus melewati sejumlah gedung di sisi kiri dan kanan jalan selebar enam meter.",sampai ke sana,CONJ,NO,NO,NO,3
92,untuk,"Namun, kami terus berusaha untuk tidak panik.",tidak panik,CONJ,NO,NO,NO,2
93,untuk,"Di dekat mata air, mereka mendirikan camp untuk beristirahat.",beristirahat,CONJ,YES,NO,NO,1
94,untuk,Sementara Mbak Asti memerintahkan karyawan lain untuk membawa Pak Hendro ke asrama.,membawa Pak Hendro ke asrama,CONJ,YES,NO,NO,5
95,untuk,Mas Deni menepi lalu turun dari kendaraan dan mencari lokasi yang memungkinkan untuk membuang hajatnya.,membuang hajatnya,CONJ,YES,NO,NO,2
96,untuk,Kewajiban untuk menyiapkan sarapan pagi untuk 300 peserta pelatihan memaksa seluruh karyawan bagian dapur bangun lebih awal.,menyiapkan sarapan pagi,CONJ,YES,NO,NO,3
97,untuk,"Untuk kesekian kalinya, aku dan Teguh berpandangan.",kesekian kalinya,PREP,NO,NO,NO,2
98,untuk,"Untuk kesekian kalinya, Pak Yuli menanyakan keberadaan Rama.",kesekian kalinya,PREP,NO,NO,NO,2
99,untuk,"Namun, satu hal yang pasti, malam itu adalah malam duka untuk mereka semua.",mereka semua,PREP,NO,YES,NO,2
100,untuk,Tidak jarang juga Kinanti membawakan oleh-oleh untuk mereka di Gunung Slamet.,mereka di Gunung Slamet,PREP,NO,YES,NO,4
101,untuk,Letaknya tidak terlalu jauh dari dapur yang saat itu sedang menyiapkan kebutuhan untuk peserta pelatihan.,peserta pelatihan,PREP,NO,NO,NO,2
102,untuk,"Untuk beberapa saat lamanya, keempat makhluk itu hanya saling berpandangan.",beberapa saat lamanya,PREP,NO,NO,NO,3
103,untuk,"Keduanya duduk di deretan paling belakang, yang tempat duduknya hanya untuk dua orang.",dua orang,PREP,NO,NO,NO,2
104,untuk,Sebuah amplop surat yang dialamatkan untuk Eyang.,Eyang,PREP,NO,NO,NO,1
105,untuk,Ini boneka yang dibeli Rama untuk hadiah ulang tahun Pinkan.,hadiah ulang tahun Pinkan,PREP,NO,NO,NO,4
106,untuk,"Bukan hanya penghuni asrama saja, tapi penduduk sekitar juga memanfaatkan keberadaan masjid itu untuk ibadah mereka.",keselamatan,PREP,NO,NO,NO,1
107,untuk,Rupanya seseorang meletakkan paket yang ditujukan untuk Janu.,Janu,PREP,NO,NO,NO,1
108,untuk,"Untuk kamar, biasanya kami menggunakan senthir, lampu tempel dengan sumbu berbahan bakar minyak tanah.",kamar,PREP,NO,NO,NO,1
109,untuk,"Tidak butuh waktu lama, aku membuat mi instan dan kopi untuk kami bertiga.",kami bertiga,PREP,YES,YES,NO,2
110,untuk,"Selama kegiatan berlangsung, biasanya dijual banyak perlengkapan untuk kegiatan outdoor.",pendaki,PREP,NO,NO,NO,1
111,untuk,Sekarang lebih baik kalian berdoa untuk keselamatan teman-teman kalian.,keselamatan,PREP,NO,NO,NO,1
112,untuk,Rumah kontrakan kami termasuk murah untuk lokasi di pinggir jalan raya.,lokasi di pinggir kota,PREP,NO,NO,NO,4
113,untuk,Sisi membawakan secangkir teh untuk Pak Drajat.,Pak Drajat,PREP,NO,NO,NO,2
114,untuk,"Setiap sore, di depan rumah kami biasanya ramai oleh penduduk desa sekitar yang mencari rumput untuk pakan ternak.",menikmati sore,PREP,YES,NO,NO,2
115,untuk,Semua keperluan untuk ritual itu sudah lengkap.,ritual itu,PREP,NO,NO,NO,2
116,untuk,Mila menabur bunga untuk siapa?,siapa,PREP,NO,NO,NO,1
117,dengan,"Dengan suara bergetar karena menahan tangis, ibu Pinkan mengatakan bahwa ciri-ciri pemuda yang disebut penjaga makam itu mirip sekali dengan Rama.",suara bergetar,CONJ,YES,NO,NO,2
118,dengan,Pak Yuli bertanya dengan suara bergetar menahan takut.,suara bergetar menahan takut,CONJ,YES,NO,NO,4
119,dengan,Ada perasaan lega yang tersirat di wajah Rio begitu melihat pemilik konter itu kembali dengan membawa carrier pesanannya.,membawa carrier pesanannya,CONJ,YES,NO,NO,3
120,dengan,Mereka biasanya datang dengan membawa seorang paranormal.,membawa seorang paranormal,CONJ,YES,NO,NO,3
121,dengan,Beberapa kali mereka berpapasan dengan para pendaki yang turun.,para pendaki yang turun,CONJ,NO,NO,NO,4
122,dengan,Perempuan itu akhirnya pergi dengan diiringi hembusan angin.,diiringi hembusan angin,CONJ,YES,NO,NO,3
123,dengan,Dia meninggal karena bunuh diri dengan menabrakkan tubuhnya ke kereta api.,menabrakkan tubuhnya ke kereta api,CONJ,YES,NO,NO,5
124,dengan,Mereka berniat merayakan pertunangan dengan mendaki Gunung Slamet.,mendaki Gunung Slamet,CONJ,YES,NO,NO,3
125,dengan,"Dengan mengucapkan salam terlebih dahulu, Beni, diringi yang lain masuk rumah satu per satu.",mengucapkan salam terlebih dahulu,CONJ,YES,NO,NO,4
126,dengan,"Pagi harinya, beberapa teman dari survivor melakukan pencarian dengan menuruni jurang.",menuruni jurang,CONJ,YES,NO,NO,2
127,dengan,Tubuhnya diam mematung dengan pandangan mata lurus ke depan.,pandangan mata lurus ke depan,CONJ,NO,NO,NO,5
128,dengan,Aku memberikan kode dengan mengacungkan jempol.,mengacungkan jempol,CONJ,YES,NO,NO,2
129,dengan,Hingga suatu ketika dia berhasil membunuh perempuan itu dengan menusukkan pisau tepat di jantungnya.,menusukkan pisau,CONJ,YES,NO,NO,2
130,dengan,Dia bahkan menghukum Arini dengan melarangnya keluar rumah.,melarangnya keluar rumah,CONJ,YES,NO,NO,3
131,dengan,Beliau kenal baik dengan Pak Bau selaku juru kunci Gunung Slamet di Bambangan.,Pak Bau,PREP,NO,NO,NO,2
132,dengan,Mila menjadi yang terakhir berpamitan dengan Pak Bau.,Pak Bau,PREP,NO,NO,NO,2
133,dengan,Dari cerita Pak RT dapat disimpulkan alasan kenapa rumah disewakan dengan harga murah.,harga murah,PREP,NO,NO,NO,2
134,dengan,Bahkan Rio sempat berkenalan dengan kedua perempuan itu.,kedua perempuan itu,PREP,NO,NO,NO,3
135,dengan,Aku peluk ibuku yang masih sedikit terguncang dengan kejadian ini.,kejadian ini,PREP,NO,NO,NO,2
136,dengan,Teguh dan Beni kembali mencoba mengaitkannya dengan peristiwa di dalam kereta.,peristiwa di dalam kereta,PREP,NO,NO,NO,4
137,dengan,Maka dibangunlah tiga kamar di halaman yang bersebelahan dengan rumah induk.,rumah induk,PREP,NO,NO,NO,2
138,dengan,Rumahnya sangat dekat dengan rumah kontrakan kami.,rumah kontrakan kami,PREP,NO,YES,NO,3
139,dengan,"Sebenarnya, jarak dengan rumah tetangga tidak terlalu dekat juga.",rumah tetangga,PREP,NO,NO,NO,2
140,dengan,Pak Drajat tidak kaget lagi dengan pertanyaan dari Sisi.,pertanyaan dari Sisi,PREP,NO,NO,NO,3
141,dengan,"Namun, sebelumnya aku diskusikan dulu dengan semua teman.",semua teman,PREP,NO,NO,NO,2
142,dengan,"Mungkin karena anak bungsu, dia suka sekali dengan anak kecil.",anak kecil,PREP,NO,NO,NO,2
143,dengan,Kami tinggal di sebuah rumah kontrakan yang berbatasan dengan area pemakaman.,area pemakaman,PREP,NO,NO,NO,2
144,dengan,"Akhirnya kami bertemu dengan Mas Beni, Pak Bau, dan beberapa warga.","Mas Beni, Pak Bau, dan beberapa anggota tim SAR",PREP,NO,NO,NO,9
145,dengan,Beni mencoba membuka percakapan dengan mereka.,mereka,PREP,NO,YES,NO,1
146,dengan,"Setelah berbasa-basi sejenak dengan beliau, aku akhirnya mengutarakan maksud kedatangan kami.",beliau,PREP,NO,YES,NO,1
147,setelah,Mila sendiri akhirnya pindah kamar setelah mendapat cerita dari teman-temannya tentang kejadian hari itu.,mendapat cerita dari teman-temannya,CONJ,YES,NO,NO,4
148,setelah,"Tidak lama setelah mendapat laporan, kepolisian langsung datang ke asrama.",mendapat laporan,CONJ,YES,NO,NO,2
149,setelah,"Setelah mendapat pekerjaan hingga akhirnya menikahi Dewi, Hendro sudah tidak lagi menjadi pemburu benda-benda pusaka.",akhirnya menikahi Dewi,CONJ,YES,NO,NO,3
150,setelah,Suara Pak Bau bergetar sesaat setelah melihat foto yang ditunjukkan Pak Drajat.,melihat foto,CONJ,YES,NO,NO,2
151,setelah,"Malam itu, setelah selesai membagikan bingkisan kepada tetangga, semua kembali dan berkumpul di basecamp.",selesai membagikan bingkisan,CONJ,YES,NO,NO,3
152,setelah,"Tapi, setelah ditunggu sampai sore, survivor tidak kunjung sampai.",ditunggu sampai sore,CONJ,YES,NO,NO,3
153,setelah,"Setelah semua clear, kami lalu berkumpul di ruangan depan, membahas beberapa langkah yang harus dilakukan terkait ""penghuni"" di kontrakan ini.",semua clear,CONJ,NO,NO,NO,2
154,setelah,"Namun, sesaat setelah Beni berdiri, tiba-tiba pintu rumah terbuka sendiri, padahal masih dalam keadaan terkunci!",Beni berdiri,CONJ,YES,NO,NO,2
155,setelah,"Setelah Beni menelepon temannya, akhirnya kabar meninggalnya Dani terkonfirmasi.",Beni menelepon temannya,CONJ,YES,NO,NO,3
156,setelah,"Setelah meneguk air putih sampai setengah gelas, dia mulai bercerita.",meneguk air putih,CONJ,YES,NO,NO,3
157,setelah,"Setelah menerima pembayaran kopinya, dia bergegas pergi.",menerima pembayaran kopinya,CONJ,YES,NO,NO,3
158,setelah,"Setelah menyelesaikan sekolah kejuruan di Purwokerto, dia merantau ke Jakarta.",menyelesaikan sekolah kejuruan,CONJ,YES,NO,NO,3
159,setelah,Rupanya beliau agak gusar setelah Pak Drajat menerima telepon dari Pak Sudi.,Pak Drajat menerima telepon,CONJ,YES,NO,NO,4
160,setelah,Setelah pintu dibuka kami semua mengikutinya dari belakang.,pintu dibuka,CONJ,YES,NO,NO,2
161,setelah,"Pagi itu Rio berpamitan kepada kami, beberapa saat setelah Dani menyalami kami.",Dani menyalami kami,CONJ,YES,YES,NO,3
162,setelah,"Setelah evakuasi selesai, dua burung merak itu menghilang.",evakuasi selesai,CONJ,NO,NO,NO,2
163,setelah,"Setelah kedua orang tuanya meninggal, Bu Rahmi menempati rumah itu.",kedua orang tuanya meninggal,CONJ,YES,NO,NO,4
164,setelah,Akan ada apa lagi setelah semua ini?,semua ini,PREP,NO,NO,NO,2
165,setelah,Kehidupan rumah tangga mereka semakin memburuk setelah kepergian Kinanti.,kepergian Kinanti,PREP,NO,NO,NO,2
166,setelah,"Hari ketiga, setelah acara pelatihan, berbekal sebilah kayu cendana sepanjang 20 sentimeter, Hendro menyambangi pohon beringin di sudut tanah kuburan itu.",acara pelatihan,PREP,NO,NO,NO,2
167,setelah,"Hanya, setelah malam itu, berbagai kejadian aneh terjadi di kehidupan kami bertiga.",malam itu,PREP,NO,NO,NO,2
168,hingga,Kami masih bertetangga hingga hari ini.,hari ini,PREP,NO,NO,NO,2
169,hingga,"Namun, hingga empat hari pencarian, jejak mereka tidak ditemukan.",empat hari pencarian,PREP,NO,NO,NO,3
170,hingga,"Di sebelah utara rumah kontrakan yang kami tempati adalah bangunan Sekolah Dasar, sebelah selatan berbatasan dengan beberapa ruko yang hanya buka hingga sore hari saja.",sore hari saja,PREP,NO,NO,NO,3
171,hingga,Hingga pada suatu hari kami mendapati ada rumah kontrakan yang disewakan dengan harga murah.,pada suatu hari,PREP,NO,NO,NO,3
172,hingga,"Dia justru semakin penasaran, hingga timbul niat untuk menarik benda pusaka yang ada di asrama itu tanpa berpikir risiko yang bisa ditimbulkannya.",timbul niat untuk menarik benda pusaka,CONJ,YES,NO,NO,6
173,hingga,Suaranya keras sekali hingga mengundang perhatian tetangga.,mengundang perhatian tetangga,CONJ,YES,NO,NO,3
174,hingga,"Seminggu setelah penemuan topi itu, jejak keduanya tidak pernah ditemukan hingga mereka berdua secara resmi dinyatakan hilang.",mereka berdua secara resmi dinyatakan hilang,CONJ,YES,YES,NO,6
175,hingga,"Setelah mendapat pekerjaan hingga akhirnya menikahi Dewi, Hendro sudah",akhirnya menikahi Dewi,CONJ,YES,NO,NO,3
176,sampai,"Kereta Ekspres Matarmaja yang membawa Beni, Teguh, dan Ari akhirnya sampai di stasiun Kota Baru, Malang.",di stasiun Kota Baru Malang,VERB,NO,NO,NO,5
177,sampai,"Tepat sebelum Maghrib, keduanya sampai di Basecamp Bambangan, rumah Pak Bau.",Maghrib,VERB,NO,NO,NO,1
178,sampai,Akhirnya aku dan Bu Nela sampai di depan kos Mila.,di depan kos Mila,VERB,NO,NO,NO,4
179,sampai,"Rio bahkan sampai menangis, dia teringat peristiwa serupa pernah menimpa sahabatnya yang meninggal saat mendaki ke Gunung Salak.",menangis,ADV,YES,NO,NO,1
180,sampai,Bukan hal mudah bagi keluarga untuk melupakan trauma ketika ada anggota keluarga yang hilang apalagi sampai meninggal di gunung.,meninggal di gunung,ADV,YES,NO,NO,3
181,sampai,Ari sampai pingsan.,pingsan,ADV,NO,NO,NO,1
182,sampai,Sampai Maghrib dia duduk bersimpuh di pusara Mbak Pinkan.,Maghrib,PREP,NO,NO,NO,1
183,sampai,"Sampai hari ini, sampai aku dewasa, kejadian malam itu tak pernah terjawab.",hari ini,PREP,NO,NO,NO,2
184,sampai,"Sejak peristiwa itu, sampai hari ini, tidak ada lagi kejadian-kejadian aneh di dalam asrama.",hari ini,PREP,NO,NO,NO,2
185,akan,Maaf Pak kalau kedatangan kami membangkitkan kembali kenangan akan almarhumah Arini,almarhumah Arini,PREP,NO,NO,NO,2
186,akan,Kali ini dia sudah tidak peduli akan kesunyian asrama.,kesunyian asrama,PREP,NO,NO,NO,2
187,akan,Tiba-tiba muncul keraguan akan sikap tetangga di kampung ini.,sikap tetangga di kampung ini,PREP,NO,NO,NO,5
188,akan,Ayah Rama bertanya kepada Pak Yuli juga yang juga tidak mengira akan ada kejadian seperti ini.,ada kejadian seperti ini,ADV,NO,NO,NO,4
189,akan,"Keluarga tidak akan melakukan perpanjangan, semua sudah mengikhlaskan kepergian Rama.",melakukan perpanjangan,ADV,YES,NO,NO,2
190,akan,"Sepertinya, cerita tentang Kinanti ini akan semakin menarik karena semakin melibatkan banyak orang.",semakin menarik,ADV,YES,NO,NO,2
191,akan,"Sebenarnya, dia sudah khawatir akan terjadi sesuatu tapi tidak tahu apa yang harus diperbuat.",terjadi sesuatu,ADV,YES,NO,NO,2
